County 1,County 2,Createdby,Dist Code,District,Div Code,Divisions,Geogid,Reg Code,Region,Sub Code,Sub Dist,Sub Irish,Female2011,Geometry,Hs2011,Male2011,PCVac2011,PPOcc2011,Total2011,Unocc2011,Vacant2011
Cork,,Paul Creaner,4300A,Bandon,319,Cork West,M4305B,3,Southern Region,4305B,Kinsale,Cionn tS�ile,5963,Polygon,5231,5765,19.4,4054,11728,1177,1013
Cork,,Paul Creaner,4170L,Mallow,318,Cork North,M4176K,3,Southern Region,4176K,Liscarroll,Lios Cear�ill,1037,Polygon,952,1032,19.3,755,2069,197,184
Cork,,Paul Creaner,4470K,Macroom,319,Cork West,M4470K,3,Southern Region,4470K,Macroom,Macroom,3648,Polygon,3156,3647,16.2,2601,7295,555,512
Cork,,Paul Creaner,4170L,Mallow,318,Cork North,M4170L,3,Southern Region,4170L,Mallow,Mala,8239,Polygon,7083,8032,13.4,5991,16271,1092,950
Cork,,Paul Creaner,3980B,Mayfield,317,Cork City,M3980B,3,Southern Region,3980B,Mayfield,Baile na mBocht,7762,Polygon,6696,7268,10.1,5855,15030,841,676
Cork,,Paul Creaner,4200E,Midelton,318,Cork North,M4200E,3,Southern Region,4200E,Midleton,Mainistir na Corann,8324,Polygon,6734,8086,11.4,5800,16410,934,770
Cork,,Paul Creaner,4170L,Mallow,318,Cork North,M4174B,3,Southern Region,4174B,Milford,�th an Mhuilinn,1230,Polygon,1048,1310,13.6,894,2540,154,143
Cork,,Paul Creaner,4470K,Macroom,319,Cork West,M4505E,3,Southern Region,4505E,Millstreet,Sr�id an Mhuilinn,2345,Polygon,1964,2305,15.8,1626,4650,338,310
Cork,,Paul Creaner,4100K,Fermoy,318,Cork North,M4105L,3,Southern Region,4105L,Mitchelstown,Baile Mhist�ala,3817,Polygon,3340,3856,13.5,2854,7673,486,452
Cork,,Paul Creaner,4170L,Mallow,318,Cork North,M4504G,3,Southern Region,4504G,Newmarket,�th Trasna,1978,Polygon,1917,2069,19.6,1515,4047,402,375
Cork,,Paul Creaner,3930F,Togher,317,Cork City,M3935G,3,Southern Region,3935G,Passage West,An Pasaiste,3357,Polygon,2742,3269,10.5,2359,6626,383,289
Cork,,Paul Creaner,4100K,Fermoy,318,Cork North,M4101G,3,Southern Region,4101G,Rathcormack,R�th Chormaic,2363,Polygon,1956,2441,11.7,1690,4804,266,228
Cork,,Paul Creaner,4400H,Clonakilty,319,Cork West,M4401F,3,Southern Region,4401F,Rosscarberry,Ros � gCairbre,1950,Polygon,2283,1958,35.3,1435,3908,848,807
Cork,,Paul Creaner,4400H,Clonakilty,319,Cork West,M4402D,3,Southern Region,4402D,Skibbereen,An Sciobair�n,3912,Polygon,4385,3858,29.2,3004,7770,1381,1281
Cork,,Paul Creaner,4370B,Bantry,319,Cork West,M4371M,3,Southern Region,4371M,Skull,An Scoil,1258,Polygon,2327,1245,55.8,998,2503,1329,1299
Cork,,Paul Creaner,4470K,Macroom,319,Cork West,M4471G,3,Southern Region,4471G,Stuake,An Stuaic,1584,Polygon,1221,1711,9.5,1091,3295,130,116
Cork,,Paul Creaner,4470K,Macroom,319,Cork West,M4477F,3,Southern Region,4477F,Tarelton,T�r Eilt�n,1131,Polygon,942,1251,14.5,792,2382,150,137
Cork,,Paul Creaner,4300A,Bandon,319,Cork West,M4308G,3,Southern Region,4308G,Timoleague,Tigh Molaige,1464,Polygon,1591,1559,31.2,1065,3023,526,496
Cork,,Paul Creaner,3930F,Togher,317,Cork City,M3930F,3,Southern Region,3930F,Togher,An T�char,9301,Polygon,7301,8668,6.7,6623,17969,678,487
Cork,,Paul Creaner,3980B,Mayfield,317,Cork City,M3982K,3,Southern Region,3982K,Watercourse Road,B�thar an tSrutha Uisce,11422,Polygon,11086,12131,14.5,9288,23553,1798,1608
Cork,,Paul Creaner,4100K,Fermoy,318,Cork North,M4078K,3,Southern Region,4078K,Watergrasshill,Cnoc�n na Biolra�,2434,Polygon,1768,2533,7.5,1609,4967,159,133
Cork,,Paul Creaner,4200E,Midelton,318,Cork North,M4203L,3,Southern Region,4203L,Whitegate,An Geata B�n,1721,Polygon,1452,1604,21.7,1109,3325,343,315
Cork,,Paul Creaner,4200E,Midelton,318,Cork North,M4204H,3,Southern Region,4204H,Youghal,Eochaill,5264,Polygon,5453,5248,25.1,3983,10512,1470,1368
Donegal,,Paul Creaner,6600A,Ballyshannon,112,Donegal,M6552H,1,Northern Region,6552H,Ardara,Ard an Ratha,1063,Polygon,1290,1113,33.3,831,2176,459,430
Donegal,,Paul Creaner,6600A,Ballyshannon,112,Donegal,M6601L,1,Northern Region,6601L,Ballintra,Baile an tSratha,1296,Polygon,1468,1270,36.3,911,2566,557,533
