Address,Area Code,County,Division H,Document Index (generated),Eircode,features. Index (generated),Functional,Id,Latitude,Longitude,Phone Numb,Station In,Station Na,Station Ty,Stn Code,Type,Type (Features),FID,Full time,Number of Records per Garda_Stations_22112021.json,Xx Ig,Xx Itm,Yy Ig,Yy Itm
"Post Office Lane, Dunmore East, Co. Waterford",051,WATERFORD,WATERFORD,1,X91 V275,1, ,1,52.14839,-6.99287,383112,https://www.garda.ie/en/Contact-Us/Station-Directory/Dunmore-East.html,DUNMORE EAST,Sub-District,3301D,FeatureCollection,Feature,1,0,1,268990,668926,100038,600094
"Killbarrymeaden, Kill",051,WATERFORD,WATERFORD,1,X42 NW81,2,WATERFORD/KILKENNY SOUTH,2,52.177324,-7.335097,292211,https://www.garda.ie/en/Contact-Us/Station-Directory/Kill-Co-Waterford.html,KILL,Sub-District,3401M,FeatureCollection,Feature,2,0,1,245534,645475,102988,603043
"Main St, Kilmacthomas",051,WATERFORD,WATERFORD,1,X42 H263,3,WATERFORD/KILKENNY SOUTH,3,52.206191,-7.421334,294124,https://www.garda.ie/en/Contact-Us/Station-Directory/Kilmacthomas.html,KILMACTHOMAS,Sub-District,3402K,FeatureCollection,Feature,3,0,1,239610,639551,106150,606204
"Kilmeaden, Co.Waterford",051,WATERFORD,WATERFORD,1,X91 TX46,4,WATERFORD/KILKENNY SOUTH,4,52.246247,-7.245047,384105,https://www.garda.ie/en/Contact-Us/Station-Directory/Kilmeaden.html,KILMEADEN,Sub-District,3403G,FeatureCollection,Feature,4,0,1,251615,651554,110718,610771
"Leamybrien, Co.Waterford",051,WATERFORD,WATERFORD,1, ,5,WATERFORD/KILKENNY SOUTH,5,52.169328,-7.521634,291182,https://www.garda.ie/en/Contact-Us/Station-Directory/Leamybrien.html,LEAMYBRIEN,Sub-District,3406A,FeatureCollection,Feature,5,0,1,232780,632723,101998,602053
"West Street, Lismore",058,WATERFORD,WATERFORD,1,P51 D285,6,WATERFORD/KILKENNY SOUTH,6,52.136673,-7.935513,54222,https://www.garda.ie/en/Contact-Us/Station-Directory/Lismore.html,LISMORE,Sub-District,3377D,FeatureCollection,Feature,6,0,1,204465,604415,98258,598314
"Barrack St, Passage East, Co. Waterford",051,WATERFORD,WATERFORD,1,X91 RX38,7, ,7,52.23918,-6.972809,382211,https://www.garda.ie/en/Contact-Us/Station-Directory/Passage-East.html,PASSAGE EAST,Sub-District,3303M,FeatureCollection,Feature,7,0,1,270220,670155,110160,610214
"Muinebheag, Kilree Street, Co. Carlow",059,CARLOW,WATERFORD,1,R21 EY23,8,KILKENNY/CARLOW,8,52.701304,-6.957359,9721212,https://www.garda.ie/en/Contact-Us/Station-Directory/Muinebheag-Bagnelstown-.html,BAGENALSTOWN,Sub-District,2805C,FeatureCollection,Feature,8,0,1,270533,670468,161598,661641
"Main Street, Portlaw",051,WATERFORD,WATERFORD,1,X91 E6KF,9,WATERFORD/KILKENNY SOUTH,9,52.286264,-7.317612,387105,https://www.garda.ie/en/Contact-Us/Station-Directory/Portlaw.html,PORTLAW,Sub-District,3404E,FeatureCollection,Feature,9,0,1,246617,646557,115121,615174
"Knocknacreha, Rathgormack",051,WATERFORD,WATERFORD,1,E32 F851,10,WATERFORD/KILKENNY SOUTH,10,52.307456,-7.50377,646002,https://www.garda.ie/en/Contact-Us/Station-Directory/Rathgormack.html,RATHGORMACK,Sub-District,3405C,FeatureCollection,Feature,10,0,1,233897,633840,117376,617428
"Mweelnahorna, Ring",058,WATERFORD,WATERFORD,1,X35 FV59,11,WATERFORD/KILKENNY SOUTH,11,52.048379,-7.593043,46111,https://www.garda.ie/en/contact-us/station-directory/an-rinn-ring-.html,RING,Sub-District,3376F,FeatureCollection,Feature,11,0,1,227969,627914,88510,588568
"Ballon, Co. Carlow",059,CARLOW,WATERFORD,1,R93 KC80,12,KILKENNY/CARLOW,12,52.743226,-6.772182,9159122,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballon.html,BALLON,Sub-District,2803G,FeatureCollection,Feature,12,0,1,282972,682904,166461,666502
"West Street, Tallow",058,WATERFORD,WATERFORD,1,P51 KN32,13,WATERFORD/KILKENNY SOUTH,13,52.093703,-8.007298,56222,https://www.garda.ie/en/Contact-Us/Station-Directory/Tallow.html,TALLOW,Sub-District,3372C,FeatureCollection,Feature,13,0,1,199549,599500,93475,593532
"Borris, Co. Kilkenny",059,CARLOW,WATERFORD,1,R95 KW65,14,KILKENNY/CARLOW,14,52.601802,-6.929311,9773102,https://www.garda.ie/en/Contact-Us/Station-Directory/Borris.html,BORRIS,Sub-District,3578E,FeatureCollection,Feature,14,0,1,272594,672529,150554,650598
"Carrigduff, Bunclody",053,CARLOW,WEXFORD,1,Y21 CH29,15,WEXFORD NORTH,15,52.656758,-6.662477,9377102,https://www.garda.ie/en/Contact-Us/Station-Directory/Bunclody.html,BUNCLODY,Sub-District,3071F,FeatureCollection,Feature,15,0,1,290559,690490,156971,657014
"Off Market Street, Tramore, Co. Waterford",051,WATERFORD,WATERFORD,1,X91 TD27,16,WATERFORD/KILKENNY SOUTH,16,52.161475,-7.153412,391620,https://www.garda.ie/en/Contact-Us/Station-Directory/Tramore.html,TRAMORE,District HQ,3400B,FeatureCollection,Feature,16,1,1,257984,657922,101354,601410
"Greenbank Road, Carlow, Co. Carlow",059,CARLOW,WATERFORD,1,R93 W983,17,KILKENNY/CARLOW,17,52.840527,-6.929317,9136620,https://www.garda.ie/en/Contact-Us/Station-Directory/Carlow.html,CARLOW,District HQ,2800B,FeatureCollection,Feature,17,1,1,272198,672133,177119,677158
"Ballybricken, Waterford City, Co. Waterford",051,WATERFORD,WATERFORD,1,X91 A076,18, ,18,52.260269,-7.115254,305300,https://www.garda.ie/en/Contact-Us/Station-Directory/Waterford.html,WATERFORD,Division HQ,3300F,FeatureCollection,Feature,18,1,1,260461,660398,112378,612431
"Hacketstown, Co. Carlow",059,CARLOW,WATERFORD,1,R93 RR04,19,KILKENNY/CARLOW,19,52.864342,-6.556978,6471202,https://www.garda.ie/en/Contact-Us/Station-Directory/Hacketstown.html,HACKETSTOWN,Sub-District,2907F,FeatureCollection,Feature,19,0,1,297234,697164,180208,680246
"Myshal, Co. Carlow",059,CARLOW,WATERFORD,1,R21 T210,20,KILKENNY/CARLOW,20,52.68752,-6.778446,9157622,https://www.garda.ie/en/Contact-Us/Station-Directory/Myshall.html,MYSHALL,Sub-District,2804E,FeatureCollection,Feature,20,0,1,282654,682586,160255,660297
"The Green, Main Street, Rathvilly, Co. Carlow",059,CARLOW,WATERFORD,1,R93 H580,21,KILKENNY/CARLOW,21,52.880429,-6.695366,9161122,https://www.garda.ie/en/Contact-Us/Station-Directory/Rathvilly.html,RATHVILLY,Sub-District,2908D,FeatureCollection,Feature,21,0,1,287882,687813,181820,681858
"Main Street, Tullow, Co. Carlow",059,CARLOW,WATERFORD,1,R93 H528,22,KILKENNY/CARLOW,22,52.803828,-6.733401,9151222,https://www.garda.ie/en/Contact-Us/Station-Directory/Tullow.html,TULLOW,Sub-District,2910F,FeatureCollection,Feature,22,0,1,285472,685404,173250,673290
"Main Street, Arva, Co. Cavan",049,CAVAN,DROGHEDA,1,H12 WY93,23,CAVAN,23,53.925376,-7.583729,4335302,https://www.garda.ie/en/Contact-Us/Station-Directory/Arva.html,ARVAGH,Sub-District,6802M,FeatureCollection,Feature,23,0,1,227396,627341,297403,797416
"Barrack Street, Baileboro, Co. Cavan",042,CAVAN,DROGHEDA,1,A82 NX86,24,CAVAN,24,53.915212,-6.96963,9694570,https://www.garda.ie/en/Contact-Us/Station-Directory/Bailieboro.html,BAILIEBOROUGH,District HQ,6870E,FeatureCollection,Feature,24,1,1,267755,667691,296683,796696
"Main Street, Ballinagh, Co. Cavan",049,CAVAN,DROGHEDA,1,H12 NW62,25,CAVAN,25,53.93111,-7.409629,4337102,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballinagh.html,BALLINAGH,Sub-District,6801B,FeatureCollection,Feature,25,0,1,238828,638771,298122,798135
"Doon, Ballyconnell, Co. Cavan",049,CAVAN,DROGHEDA,1,H14 EC99,26,CAVAN,26,54.118998,-7.580204,9525580,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballyconnell.html,BALLYCONNELL,Sub-District,6900M,FeatureCollection,Feature,26,1,1,227500,627445,318956,818964
"Granard Road, Ballyjamesduff, Co. Cavan",049,CAVAN,DROGHEDA,1,A82 AX64,27,CAVAN,27,53.86311,-7.208767,8544102,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballyjamesduff.html,BALLYJAMESDUFF,Sub-District,6877B,FeatureCollection,Feature,27,0,1,252106,652046,290682,790697
"Main Street, Belturbet, Co. Cavan",049,CAVAN,DROGHEDA,1,H14 PK82,28,CAVAN,28,54.101166,-7.442615,9522122,https://www.garda.ie/en/Contact-Us/Station-Directory/Belturbet.html,BELTURBET,Sub-District,6901K,FeatureCollection,Feature,28,0,1,236512,636456,317033,817042
"Main Street, Blacklion, Co. Cavan",071,CAVAN,DROGHEDA,1,F91 W9PY,29,CAVAN,29,54.291479,-7.876192,9853002,https://www.garda.ie/en/Contact-Us/Station-Directory/Blacklion.html,BLACKLION,Sub-District,6377M,FeatureCollection,Feature,29,0,1,208111,608061,338081,838085
"Franham Street, Cavan, Co. Cavan",049,CAVAN,DROGHEDA,1,H12 HH56,30,CAVAN,30,53.99333,-7.360879,4368800,https://www.garda.ie/en/Contact-Us/Station-Directory/Cavan.html,CAVAN,District HQ,6800D,FeatureCollection,Feature,30,1,1,241968,641910,305076,805087
"Station Road, Cootehill, Co. Cavan",049,CAVAN,DROGHEDA,1,H16 Y176,31,CAVAN,31,54.074708,-7.078703,5552105,https://www.garda.ie/en/Contact-Us/Station-Directory/Cootehill.html,COOTEHILL,Sub-District,6876D,FeatureCollection,Feature,31,0,1,260357,660295,314337,814347
"Main Street, Dowra, Co. Cavan",071,CAVAN,DROGHEDA,1,N41 V0H9,32,CAVAN,32,54.190428,-8.01525,9643002,https://www.garda.ie/en/Contact-Us/Station-Directory/Dowra.html,DOWRA,Sub-District,6376B,FeatureCollection,Feature,32,0,1,199053,599005,326825,826832
"Portaliffe, Killeshandra, Co. Cavan",049,CAVAN,DROGHEDA,1,H12 HW80,33,CAVAN,33,54.011748,-7.525932,4334302,https://www.garda.ie/en/Contact-Us/Station-Directory/Killeshandra.html,KILLASHANDRA,Sub-District,6903E,FeatureCollection,Feature,33,0,1,231128,631073,307041,807052
"Barrack Road, Kilnaleck, Co. Cavan",049,CAVAN,DROGHEDA,1,A82 DE06,34,CAVAN,34,53.858467,-7.317923,4336202,https://www.garda.ie/en/Contact-Us/Station-Directory/Kilnaleck.html,KILNALECK,Sub-District,6805E,FeatureCollection,Feature,34,0,1,244930,644871,290091,790106
"Kingscourt, Kells Road, Co. Cavan",042,CAVAN,DROGHEDA,1,A82 PP58,35,CAVAN,35,53.904314,-6.806759,9667292,https://www.garda.ie/en/Contact-Us/Station-Directory/Kingscourt.html,KINGSCOURT,Sub-District,6871C,FeatureCollection,Feature,35,0,1,278477,678411,295638,795652
"Rosehill, Mullagh, Co. Cavan",046,CAVAN,DROGHEDA,1,A82 PX46,36,CAVAN,36,53.811139,-6.943188,9242002,https://www.garda.ie/en/Contact-Us/Station-Directory/Mullagh.html,MULLAGH,Sub-District,6872A,FeatureCollection,Feature,36,0,1,269665,669601,285126,785141
"Lisdrumskea, Bailieboro Road, Shercock, Co. Cavan",042,CAVAN,DROGHEDA,1,A81 N720,37,CAVAN,37,53.992199,-6.900786,9669102,https://www.garda.ie/en/Contact-Us/Station-Directory/Shercock.html,SHERCOCK,Sub-District,6873L,FeatureCollection,Feature,37,0,1,272145,672081,305320,805331
"Hawkswood, Swanlinbar, Co. Cavan",049,CAVAN,DROGHEDA,1,H14 RR97,38,CAVAN,38,54.196111,-7.703839,9521242,https://www.garda.ie/en/Contact-Us/Station-Directory/Swanlinbar.html,SWANLINBAR,Sub-District,6902G,FeatureCollection,Feature,38,0,1,219379,619326,327498,827505
"Main Street, Virginnia, Co. Cavan",049,CAVAN,DROGHEDA,1,A82 X086,39,CAVAN,39,53.834442,-7.081928,8547002,https://www.garda.ie/en/Contact-Us/Station-Directory/Virginia.html,VIRGINIA,Sub-District,6875F,FeatureCollection,Feature,39,0,1,260492,660430,287592,787607
