Attribute,Description,Statistical data type
id,Unique ID,Numeric (nominal)
Station,Name of the Garda station,Categorical
Divisions,Name of the Garda station division,Categorical
x,Irish grid reference - Easting,Numeric: Interval ratio
y,Irish grid reference - Northing,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2004",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2005",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2006",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2007",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2008",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2009",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2010",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2011",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2012",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2013",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2014",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2015",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
"Attempts or threats to murder, assaults, harassments and related offences 2016*",Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2003,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2004,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2005,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2006,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2007,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2008,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2009,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2010,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2011,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2012,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2013,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2014,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2015,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Dangerous or negligent acts 2016*,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Kidnapping and related offences 2003,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Kidnapping and related offences 2004,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Kidnapping and related offences 2005,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Kidnapping and related offences 2006,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Kidnapping and related offences 2007,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Kidnapping and related offences 2008,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Kidnapping and related offences 2009,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Kidnapping and related offences 2010,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
Kidnapping and related offences 2011,Count of the number of offenses recorded in this category in this year,Numeric: Interval ratio
