Divisions,Station,Assistant_Commissioner,chief_superintendent,Superintendent,Insp,Sergt,Garda,Grand Total,Year
WICKLOW,ARKLOW,,,,1,5,30,36,2010
WICKLOW,ASHFORD,,,,,2,10,12,2010
WICKLOW,AUGHRIM,,,,,,2,2,2010
WICKLOW,AVOCA,,,,,1,2,3,2010
WICKLOW,BALTINGLASS,,,1,1,6,31,39,2010
WICKLOW,BLESSINGTON,,,,,2,15,17,2010
WICKLOW,BRAY,,1,1,5,16,110,133,2010
WICKLOW,CARNEW,,,,,1,3,4,2010
WICKLOW,DONARD,,,,,,1,1,2010
WICKLOW,DUNLAVIN,,,,,,2,2,2010
WICKLOW,ENNISKERRY,,,,,1,5,6,2010
WICKLOW,GREYSTONES,,,,,5,31,36,2010
WICKLOW,HOLLYWOOD,,,,,,1,1,2010
WICKLOW,NEWTOWNMOUNTKENNEDY,,,,,1,2,3,2010
WICKLOW,RATHDRUM,,,,,1,4,5,2010
WICKLOW,ROUNDWOOD,,,,,1,3,4,2010
WICKLOW,SHILLELAGH,,,,,,1,1,2010
WICKLOW,TINAHELY,,,,,,2,2,2010
WICKLOW,WICKLOW,,,1,1,5,41,48,2010
WEXFORD,BALDWINSTOWN,,,,,,1,1,2010
WEXFORD,BLACKWATER,,,,,1,2,3,2010
WEXFORD,BUNCLODY,,,,,2,6,8,2010
WEXFORD,CASTLEBRIDGE,,,,,1,2,3,2010
WEXFORD,CLONROCHE,,,,,1,1,2,2010
WEXFORD,COURTOWN HARBOUR,,,,,,2,2,2010
WEXFORD,ENNISCORTHY,,,1,1,6,32,40,2010
WEXFORD,FERNS,,,,,1,2,3,2010
WEXFORD,GLYNN,,,,,,1,1,2010
WEXFORD,GOREY,,,1,1,8,43,53,2010
WEXFORD,KILMORE QUAY,,,,,1,1,2,2010
WEXFORD,KILTEALY,,,,,,1,1,2010
WEXFORD,NEW ROSS,,,1,1,4,34,40,2010
WEXFORD,OULART,,,,,,1,1,2010
WEXFORD,OYLEGATE,,,,,1,2,3,2010
WEXFORD,ROSSLARE HARBOUR,,,,,1,6,7,2010
WEXFORD,ROSSLARE STRAND,,,,,1,1,2,2010
WEXFORD,TAGHMON,,,,,,3,3,2010
WEXFORD,WEXFORD,,1,1,2,13,78,95,2010
WESTMEATH,ATHLONE,,,1,2,8,56,67,2010
WESTMEATH,BALLINAHOWN,,,,,,1,1,2010
WESTMEATH,BALLYMORE,,,,,,2,2,2010
WESTMEATH,BALLYNACARGY,,,,,,2,2,2010
WESTMEATH,CASTLEPOLLARD,,,,,1,2,3,2010
WESTMEATH,CASTLETOWN GEOGHEGAN,,,,,,1,1,2010
WESTMEATH,DELVIN,,,,,2,12,14,2010
WESTMEATH,FINEA,,,,,,1,1,2010
WESTMEATH,GLASSON,,,,,,2,2,2010
WESTMEATH,KILBEGGAN,,,,,1,3,4,2010
WESTMEATH,KILLUCAN,,,,,,5,5,2010
WESTMEATH,KINNEGAD,,,,,1,5,6,2010
WESTMEATH,MOATE,,,,,3,14,17,2010
WESTMEATH,MULLINGAR,1,1,1,5,19,104,131,2010
WESTMEATH,MULTYFARNHAM,,,,,,1,1,2010
WESTMEATH,ROCHFORTBRIDGE,,,,,1,4,5,2010
WATERFORD,AGLISH,,,,,,1,1,2010
WATERFORD,ARDMORE,,,,,,2,2,2010
WATERFORD,BALLYDUFF,,,,,1,,1,2010
WATERFORD,BALLYMACARBERRY,,,,,,2,2,2010
WATERFORD,CAPPOQUIN,,,,,,2,2,2010
WATERFORD,DUNGARVAN,,,1,1,7,41,50,2010
WATERFORD,DUNMORE EAST,,,,,1,2,3,2010
WATERFORD,FERRYBANK,,,,,1,6,7,2010
WATERFORD,KILL,,,,,,1,1,2010
