Divisions,Station,Garda,Sergt,Insp,Superintendent,chief_superintendent,Assistant_Commissioner,Grand Total,Year
CAVAN / MONAGHAN,BAILIEBORO,30,8,1,1,,,40,2011
CAVAN / MONAGHAN,BALLYJAMESDUFF,3,1,,,,,4,2011
CAVAN / MONAGHAN,COOTEHILL,8,1,,,,,9,2011
CAVAN / MONAGHAN,KINGSCOURT,5,1,,,,,6,2011
CAVAN / MONAGHAN,MULLAGH,2,,,,,,2,2011
CAVAN / MONAGHAN,SHERCOCK,1,1,,,,,2,2011
CAVAN / MONAGHAN,VIRGINIA,4,1,,,,,5,2011
CAVAN / MONAGHAN,BALLYCONNELL,23,4,,1,,,28,2011
CAVAN / MONAGHAN,BAWNBOY,1,,,,,,1,2011
CAVAN / MONAGHAN,BELTURBET,3,1,,,,,4,2011
CAVAN / MONAGHAN,BLACKLION,2,1,,,,,3,2011
CAVAN / MONAGHAN,DOWRA,1,,,,,,1,2011
CAVAN / MONAGHAN,KILLESHANDRA,1,,,,,,1,2011
CAVAN / MONAGHAN,SWANLINBAR,,1,,,,,1,2011
CAVAN / MONAGHAN,BALLYBAY,4,1,,,,,5,2011
CAVAN / MONAGHAN,CARRICKMACROSS,36,8,1,1,,,46,2011
CAVAN / MONAGHAN,CASTLEBLANEY,20,4,,,,,24,2011
CAVAN / MONAGHAN,CORRINSHIGAGH,1,,,,,,1,2011
CAVAN / MONAGHAN,ROCKCORRY,1,,,,,,1,2011
CAVAN / MONAGHAN,SHANTONAGH,1,1,,,,,2,2011
CAVAN / MONAGHAN,ARVA,2,1,,,,,3,2011
CAVAN / MONAGHAN,BALLINAGH,1,1,,,,,2,2011
CAVAN / MONAGHAN,CAVAN,50,9,2,1,,,62,2011
CAVAN / MONAGHAN,KILNALECK,3,1,,,,,4,2011
CAVAN / MONAGHAN,REDHILLS,1,,,,,,1,2011
CAVAN / MONAGHAN,STRADONE,1,,,,,,1,2011
CAVAN / MONAGHAN,CLONES,6,1,,,,,7,2011
CAVAN / MONAGHAN,EMYVALE,3,1,,,,,4,2011
CAVAN / MONAGHAN,MONAGHAN,67,15,2,2,,,86,2011
CAVAN / MONAGHAN,NEWBLISS,1,,,,,,1,2011
CAVAN / MONAGHAN,SCOTSTOWN,2,1,,,,,3,2011
CLARE,CRUSHEEN,1,,,,,,1,2011
CLARE,ENNIS,101,14,2,1,1,,119,2011
CLARE,IMMIGRATION OFFICE,5,,,,,,5,2011
CLARE,LISSYCASEY,1,,,,,,1,2011
CLARE,NEWMARKET ON FERGUS,3,,,,,,3,2011
CLARE,QUIN,1,,,,,,1,2011
CLARE,SHANNON,53,8,1,,,,62,2011
CLARE,SIXMILEBRIDGE,3,1,,,,,4,2011
CLARE,BALLYVAUGHAN,1,,,,,,1,2011
CLARE,COROFIN,1,,,,,,1,2011
CLARE,ENNISTYMON,21,3,,1,,,25,2011
CLARE,INAGH,1,,,,,,1,2011
CLARE,LAHINCH,2,,,,,,2,2011
CLARE,LISDOONVARNA,1,,,,,,1,2011
CLARE,MILTOWN MALBAY,2,1,,,,,3,2011
CLARE,BROADFORD,1,,,,,,1,2011
CLARE,KILLALOE,27,5,1,,,,33,2011
CLARE,MOUNTSHANNON,1,,,,,,1,2011
CLARE,SCARIFF,4,1,,,,,5,2011
CLARE,TULLA,2,,,,,,2,2011
CLARE,KILDYSART,1,,,,,,1,2011
CLARE,KILKEE,2,,,,,,2,2011
CLARE,KILMIHIL,1,,,,,,1,2011
CLARE,KILRUSH,27,4,,1,,,32,2011
CORK CITY,ANGLESEA STREET,218,42,10,3,1,,274,2011
CORK CITY,BARRACK STREET,17,5,,,,,22,2011
CORK CITY,BLACKROCK,25,4,,,,,29,2011
CORK CITY,BRIDEWELL,19,5,,,,,24,2011
CORK CITY,BALLINCOLLIG,23,2,,,,,25,2011
CORK CITY,BLARNEY,15,2,,,,,17,2011
CORK CITY,GURRANABRAHER,47,6,1,1,,,55,2011
CORK CITY,RATHDUFF GRENAGH,2,,,,,,2,2011
CORK CITY,MALLOW ROAD,4,1,,,,,5,2011
CORK CITY,MAYFIELD,44,7,1,1,,,53,2011
CORK CITY,WATERCOURSE ROAD,45,7,,,,,52,2011
CORK CITY,BISHOPSTOWN,20,4,,,,,24,2011
CORK CITY,CARRIGALINE,18,2,,,,,20,2011
CORK CITY,CROSSHAVEN,2,1,,,,,3,2011
CORK CITY,DOUGLAS,22,5,,,,,27,2011
CORK CITY,PASSAGE WEST,2,1,,,,,3,2011
CORK CITY,TOGHER,45,8,1,1,,,55,2011
CORK NORTH,CARRIG NA BHFEAR,1,,,,,,1,2011
CORK NORTH,CARRIGTWOHILL,2,1,,,,,3,2011
CORK NORTH,COBH,30,6,1,1,,,38,2011
CORK NORTH,GLANMIRE,18,4,,,,,22,2011
CORK NORTH,GLENVILLE,1,,,,,,1,2011
CORK NORTH,WATERGRASSHILL,1,,,,,,1,2011
CORK NORTH,BALLYNOE,1,,,,,,1,2011
CORK NORTH,CASTLETOWNROCHE,2,,,,,,2,2011
CORK NORTH,FERMOY,46,8,1,1,,,56,2011
CORK NORTH,KILDORRERY,1,,,,,,1,2011
CORK NORTH,KILWORTH,2,,,,,,2,2011
CORK NORTH,MITCHELSTOWN,20,3,,,,,23,2011
CORK NORTH,RATHCORMAC,1,,,,,,1,2011
CORK NORTH,BUTTEVANT,1,,,,,,1,2011
CORK NORTH,CHARLEVILLE,14,3,,,,,17,2011
CORK NORTH,DONERAILE,2,,,,,,2,2011
CORK NORTH,GLANTAINE,1,,,,,,1,2011
CORK NORTH,LISCARROLL,1,,,,,,1,2011
CORK NORTH,MALLOW,39,8,1,1,,,49,2011
CORK NORTH,MILFORD,2,,,,,,2,2011
CORK NORTH,BALLYCOTTON,1,,,,,,1,2011
CORK NORTH,CLOYNE,1,,,,,,1,2011
CORK NORTH,KILLEAGH,1,,,,,,1,2011
CORK NORTH,MIDLETON,40,8,2,1,,,51,2011
CORK NORTH,WHITEGATE,1,,,,,,1,2011
CORK NORTH,YOUGHAL,19,5,,,,,24,2011
CORK WEST,TIMOLEAGUE,1,,,,,,1,2011
CORK WEST,TARELTON,1,,,,,,1,2011
CORK WEST,STUAKE,1,,,,,,1,2011
CORK WEST,SKIBBEREEN,8,2,,,,,10,2011
CORK WEST,SCHULL,3,1,,,,,4,2011
CORK WEST,ROSSCARBERY,2,,,,,,2,2011
CORK WEST,RATHMORE,1,,,,,,1,2011
CORK WEST,NEWMARKET,2,1,,,,,3,2011
CORK WEST,MILLSTREET,7,2,,,,,9,2011
CORK WEST,MEELIN,1,,,,,,1,2011
CORK WEST,MACROOM,34,6,1,1,,,42,2011
CORK WEST,KNOCKNAGREE,1,,,,,,1,2011
CORK WEST,KINSALE,12,3,,,,,15,2011
CORK WEST,KILBRITTAIN,1,,,,,,1,2011
CORK WEST,KEALKIL,1,,,,,,1,2011
CORK WEST,KANTURK,29,4,,,,,33,2011
CORK WEST,INNISHANNON,1,,,,,,1,2011
CORK WEST,INCHIGEELA,1,,,,,,1,2011
CORK WEST,GOLEEN,1,,,,,,1,2011
CORK WEST,GLENGARRIFF,1,,,,,,1,2011
